the,The dog is in the house.
to be,I want to be a doctor.
and,I have a cat and a dog.
of,This is a glass of water.
a,I have a new book.
in,The cat is in the box.
to have,I have two brothers.
to,She walks to school every day.
it,It is a very big dog.
I,I like to eat pizza.
that,I think that this is fun.
for,This gift is for you.
you,You are my best friend.
he,He plays soccer every day.
with,She came with her mother.
on,The book is on the table.
to do,I need to do my homework.
to say,I want to say hello.
this,This apple is very red.
they,They play in the park.
at,She is at school now.
but,I like cats but not dogs.
we,We go to school together.
his,His dog is very friendly.
from,She is from Brazil.
that,The ball that he kicked was red.
not,I do not like spiders.
n't,She doesn't like cold water.
by,The book was written by her.
she,She has a pretty dress.
or,Do you want juice or water?
as,She runs as fast as him.
what,What is your favorite color?
to go,I want to go to the park.
their,Their house is very big.
can,She can swim very well.
who,Who is your best friend?
to get,I want to get a new toy.
if,We play outside if it is sunny.
would,She would like some cake.
her,I gave her a flower.
all,All the kids love recess.
my,My cat is orange.
to make,I want to make a cake.
about,Tell me about your day.
to know,I want to know the answer.
will,She will come tomorrow.
as,He is as tall as a tree.
up,The cat jumped up the tree.
one,I have one sister.
time,I have no time to play.
there,There is a cat on the roof.
year,This year I am ten years old.
so,I was so happy at the party.
to think,I think this answer is right.
when,When do we eat lunch?
which,Which color do you like more?
them,I saw them at the park.
some,I want some juice please.
me,Can you help me with this?
people,Many people live in this city.
to take,Please take your bag to school.
out,She went out to play.
into,He walked into the classroom.
just,I just ate my lunch.
to see,I want to see that film.
him,I gave him a pencil.
your,Is this your pencil case?
to come,Come here and sit with me.
could,Could you open the window please?
now,We must leave now.
than,She is taller than her brother.
like,I like to eat fruit.
other,I want the other book.
how,How do you spell your name?
then,We ate and then we played.
its,The dog hurt its paw.
our,This is our classroom.
two,I have two sisters.
more,Can I have more water please?
these,These books are very heavy.
to want,I want a new pencil.
way,Do you know the way home?
to look,Look at the blue sky.
first,I was first in the race.
also,She also likes to read books.
new,I got a new backpack today.
because,I smiled because I was happy.
day,Today is a beautiful day.
more,I want more time to play.
to use,You can use my eraser.
no,There is no milk left.
man,That man is my teacher.
to find,I cannot find my pencil.
here,Come here and sit down.
thing,What is that thing over there?
to give,I will give you my pen.
many,There are many kids in school.
well,She sings very well.
only,I have only one brother.
those,Those books are on the table.
to tell,Please tell me the answer.
one,I have one dog at home.
very,She is very happy today.
her,I gave her a gift.
even,He can even run very fast.
back,She went back to school.
any,Do you have any questions?
good,You did a good job today.
woman,The woman is a great teacher.
through,The cat went through the door.
us,She walked with us to school.
life,Life is full of surprises.
child,The child played in the park.
there,There is a dog in the yard.
to work,My dad likes to work early.
down,The ball rolled down the hill.
may,You may eat your snack now.
after,We play after school every day.
should,You should drink more water.
to call,I need to call my mom.
world,The world is a big place.
over,The game is over now.
school,I love going to school.
still,She is still sleeping right now.
to try,Always try your best in class.
in,The cat is in the box.
as,She runs as fast as him.
last,This is the last piece of cake.
to ask,Do not be afraid to ask.
to need,I need to study for the test.
too,I want to come too.
to feel,I feel happy at school.
three,I have three best friends.
when,When do we eat lunch today?
state,Each state has its own flag.
never,I never forget my homework.
to become,She wants to become a doctor.
between,The cat sat between the two boxes.
high,The bird flew very high.
really,I really like chocolate ice cream.
something,I have something to show you.
most,She got the most points today.
another,Can I have another piece please?
much,I learned so much today.
family,My family eats dinner together.
own,She has her own book.
out,Please go out and play.
to leave,We need to leave for school.
to put,Put your bag on the chair.
old,My grandfather is very old.
while,I read while you sleep.
to mean,What does this word mean?
on,The book is on the table.
to keep,Keep your room clean.
student,She is a good student.
why,Why are you sad today?
to let,Let me help you please.
great,You did a great job!
same,We wear the same shirt.
big,That is a big dog.
group,Our group has five students.
to begin,We begin class at eight.
to seem,You seem happy today.
country,Brazil is a big country.
to help,Can you help me please?
to talk,I like to talk with friends.
where,Where is my red bag?
to turn,Turn left at the school.
problem,I have a small problem.
every,I brush my teeth every day.
to start,Let us start the game now.
hand,Raise your hand to answer.
might,It might rain today.
American,He has an American friend.
to show,Show me your drawing please.
part,This is the best part.
about,This book is about animals.
against,We played against another team.
place,This is a beautiful place.
over,The game is over now.
such,I never saw such beauty.
again,Please say that again slowly.
few,I have a few pencils.
case,This is a special case.
most,Most kids like to play.
week,I study five days a week.
company,I work at my dad's company.
where,Where do you live?
system,Our school has a good system.
each,Each student has a book.
right,Turn right at the corner.
program,I watch a fun TV program.
