"Beam"|"A beam of light came through the window."|"Feixe de luz <i>(substantivo)</i>"|"Um feixe de luz entrou pela janela."|"[sound:309_beam.mp3]"|"<img src='309_beam.jpg'>"
"Bear"|"A bear was spotted near the campsite."|"Urso <i>(substantivo)</i>"|"Um urso foi visto perto do acampamento."|"[sound:311_bear.mp3]"|"<img src='311_bear.jpg'>"
"Bee"|"A bee landed on the flower."|"Abelha <i>(substantivo)</i>"|"Uma abelha pousou na flor."|"[sound:321_bee.mp3]"|"<img src='321_bee.jpg'>"
"Storm"|"A big storm is coming tonight."|"Tempestade <i>(substantivo)</i>"|"Uma tempestade forte vem aí esta noite."|"[sound:3402_storm.mp3]"|"<img src='3402_storm.jpg'>"
"Truck"|"A big truck blocked the street."|"Caminhão <i>(substantivo)</i>"|"Um caminhão grande bloqueou a rua."|"[sound:4718_truck.mp3]"|"<img src='4718_truck.jpg'>"
"Wave"|"A big wave knocked him off his feet."|"Onda <i>(substantivo)</i>"|"Uma onda grande o derrubou."|"[sound:4869_wave.mp3]"|"<img src='4869_wave.jpg'>"
"Bird"|"A bird landed on my window this morning."|"Pássaro <i>(substantivo)</i>"|"Um pássaro pousou na minha janela esta manhã."|"[sound:365_bird.mp3]"|"<img src='365_bird.jpg'>"
"Branch"|"A branch fell on the car during the storm."|"Galho <i>(substantivo)</i>"|"Um galho caiu no carro durante a tempestade."|"[sound:418_branch.mp3]"|"<img src='418_branch.jpg'>"
"Celebrity"|"A celebrity was spotted at the restaurant downtown."|"Celebridade <i>(substantivo)</i>"|"Uma celebridade foi vista no restaurante do centro."|"[sound:535_celebrity.mp3]"|"<img src='535_celebrity.jpg'>"
"Colleague"|"A colleague covered for me while I was sick."|"Colega de trabalho <i>(substantivo)</i>"|"Uma colega de trabalho me cobriu enquanto eu estava doente."|"[sound:653_colleague.mp3]"|"<img src='653_colleague.jpg'>"
"Cop"|"A cop stopped the car for speeding."|"Policial <i>(substantivo)</i>"|"Um policial parou o carro por excesso de velocidade."|"[sound:787_cop.mp3]"|"<img src='787_cop.jpg'>"
"Deer"|"A deer was standing in the middle of the road."|"Cervo <i>(substantivo)</i>"|"Um cervo estava parado no meio da estrada."|"[sound:916_deer.mp3]"|"<img src='916_deer.jpg'>"
"Requirement"|"A degree is a requirement for this job."|"Requisito/exigência <i>(substantivo)</i>"|"Um diploma é um requisito para esse trabalho."|"[sound:2969_requirement.mp3]"|"<img src='2969_requirement.jpg'>"
"Duck"|"A duck was swimming in the pond."|"Pato <i>(substantivo)</i>"|"Um pato estava nadando no lago."|"[sound:1073_duck.mp3]"|"<img src='1073_duck.jpg'>"
"Flash"|"A flash of lightning lit up the sky."|"Relâmpago/clarão <i>(substantivo)</i>"|"Um relâmpago iluminou o céu."|"[sound:1391_flash.mp3]"|"<img src='1391_flash.jpg'>"
"Fly"|"A fly landed on my sandwich."|"Mosca <i>(substantivo)</i>"|"Uma mosca pousou no meu sanduíche."|"[sound:1405_fly.mp3]"|"<img src='1405_fly.jpg'>"
"To Boost"|"A good breakfast boosts your energy in the morning."|"Aumentar/impulsionar <i>(verbo)</i>"|"Um bom café da manhã aumenta sua energia de manhã."|"[sound:3746_to_boost.mp3]"|"<img src='3746_to_boost.jpg'>"
"Education"|"A good education opens a lot of doors in life."|"Educação <i>(substantivo)</i>"|"Uma boa educação abre muitas portas na vida."|"[sound:1111_education.mp3]"|"<img src='1111_education.jpg'>"
"Guard"|"A guard stood at the entrance."|"Guarda <i>(substantivo)</i>"|"Um guarda estava na entrada."|"[sound:1584_guard.mp3]"|"<img src='1584_guard.jpg'>"
"Helicopter"|"A helicopter flew over our neighborhood."|"Helicóptero <i>(substantivo)</i>"|"Um helicóptero sobrevoou nosso bairro."|"[sound:1639_helicopter.mp3]"|"<img src='1639_helicopter.jpg'>"
"To Ease"|"A hot bath can ease muscle pain."|"Aliviar <i>(verbo)</i>"|"Um banho quente pode aliviar a dor muscular."|"[sound:3946_to_ease.mp3]"|"<img src='3946_to_ease.jpg'>"
"Lady"|"A kind lady helped me find the exit."|"Senhora/moça <i>(substantivo)</i>"|"Uma senhora gentil me ajudou a encontrar a saída."|"[sound:1947_lady.mp3]"|"<img src='1947_lady.jpg'>"
"Amount"|"A large amount of sugar isn't good for you."|"Quantidade <i>(substantivo)</i>"|"Uma grande quantidade de açúcar não faz bem para você."|"[sound:140_amount.mp3]"|"<img src='140_amount.jpg'>"
"Crowd"|"A large crowd gathered in the square."|"Multidão <i>(substantivo)</i>"|"Uma grande multidão se reuniu na praça."|"[sound:850_crowd.mp3]"|"<img src='850_crowd.jpg'>"
"Demonstration"|"A large demonstration took place in front of city hall."|"Manifestação <i>(substantivo)</i>"|"Uma grande manifestação aconteceu em frente à prefeitura."|"[sound:936_demonstration.mp3]"|"<img src='936_demonstration.jpg'>"
"Proportion"|"A large proportion of students passed the exam."|"Proporção <i>(substantivo)</i>"|"Uma grande proporção dos alunos passou na prova."|"[sound:2801_proportion.mp3]"|"<img src='2801_proportion.jpg'>"
"To Flash"|"A light flashed in the dark hallway."|"Piscar/brilhar <i>(verbo)</i>"|"Uma luz piscou no corredor escuro."|"[sound:4020_to_flash.mp3]"|"<img src='4020_to_flash.jpg'>"
"Lion"|"A lion roared in the distance."|"Leão <i>(substantivo)</i>"|"Um leão rugiu ao longe."|"[sound:2041_lion.mp3]"|"<img src='2041_lion.jpg'>"
"Girl"|"A little girl dropped her ice cream and started crying."|"Menina <i>(substantivo)</i>"|"Uma menina derrubou o sorvete e começou a chorar."|"[sound:1529_girl.mp3]"|"<img src='1529_girl.jpg'>"
"Sponsor"|"A local business is the main sponsor of the event."|"Patrocinador <i>(substantivo)</i>"|"Uma empresa local é a principal patrocinadora do evento."|"[sound:3344_sponsor.mp3]"|"<img src='3344_sponsor.jpg'>"
"To Sponsor"|"A local company sponsored the event."|"Patrocinar <i>(verbo)</i>"|"Uma empresa local patrocinou o evento."|"[sound:4480_to_sponsor.mp3]"|"<img src='4480_to_sponsor.jpg'>"
"Decade"|"A lot changed in the last decade."|"Década <i>(substantivo)</i>"|"Muita coisa mudou na última década."|"[sound:908_decade.mp3]"|"<img src='908_decade.jpg'>"
"People"|"A lot of people showed up for the event."|"Pessoas/povo <i>(substantivo)</i>"|"Muitas pessoas apareceram para o evento."|"[sound:2583_people.mp3]"|"<img src='2583_people.jpg'>"
"Muslim"|"A Muslim from her neighborhood opened a new restaurant."|"Muçulmano <i>(substantivo)</i>"|"Um muçulmano do bairro dela abriu um novo restaurante."|"[sound:2284_muslim.mp3]"|"<img src='2284_muslim.jpg'>"
"Palestinian"|"A Palestinian spoke at the conference."|"Palestino <i>(substantivo)</i>"|"Um palestino discursou na conferência."|"[sound:2521_palestinian.mp3]"|"<img src='2521_palestinian.jpg'>"
"Panel"|"A panel of experts discussed the issue."|"Painel / grupo <i>(substantivo)</i>"|"Um painel de especialistas discutiu o assunto."|"[sound:2524_panel.mp3]"|"<img src='2524_panel.jpg'>"
"Operator"|"A phone operator helped me reschedule my appointment."|"Atendente <i>(substantivo)</i>"|"Uma atendente me ajudou a remarcar minha consulta."|"[sound:2448_operator.mp3]"|"<img src='2448_operator.jpg'>"
"Pipe"|"A pipe burst and flooded the bathroom."|"Cano <i>(substantivo)</i>"|"Um cano estourou e alagou o banheiro."|"[sound:2634_pipe.mp3]"|"<img src='2634_pipe.jpg'>"
"Patrol"|"A police patrol passed by every hour."|"Patrulha <i>(substantivo)</i>"|"Uma patrulha policial passava a cada hora."|"[sound:2566_patrol.mp3]"|"<img src='2566_patrol.jpg'>"
"To Arise"|"A problem arose during the meeting."|"Surgir <i>(verbo)</i>"|"Um problema surgiu durante a reunião."|"[sound:3690_to_arise.mp3]"|"<img src='3690_to_arise.jpg'>"
"Thanks"|"A quick thanks goes a long way."|"Agradecimento <i>(substantivo)</i>"|"Um simples agradecimento faz muita diferença."|"[sound:3576_thanks.mp3]"|"<img src='3576_thanks.jpg'>"
"Rare"|"A rare disease affects thousands worldwide."|"Raro <i>(adjetivo)</i>"|"Uma doença rara afeta milhares no mundo."|"[sound:2871_rare.mp3]"|"<img src='2871_rare.jpg'>"
"Rat"|"A rat got into the kitchen."|"Rato <i>(substantivo)</i>"|"Um rato entrou na cozinha."|"[sound:2873_rat.mp3]"|"<img src='2873_rat.jpg'>"
"Leaf"|"A red leaf fell from the tree."|"Folha <i>(substantivo)</i>"|"Uma folha vermelha caiu da árvore."|"[sound:1983_leaf.mp3]"|"<img src='1983_leaf.jpg'>"
