"a"|"She has a dog."|"A smiling girl walking a fluffy dog on a leash in a sunny park, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"ability"|"He has the ability to learn fast."|"A boy quickly solving math problems on a chalkboard while classmates look amazed, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"able"|"She was able to finish the test on time."|"A girl smiling and putting down her pencil as a clock on the wall shows exactly on time, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"abortion"|"Abortion is a controversial topic in many countries."|"People on opposite sides of a debate holding signs in front of a courthouse, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"about"|"This book is about a boy who loves science."|"A child holding an open book with a boy and science beakers illustrated on its pages, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"about"|"Dinner is about ready."|"A woman standing at a stove stirring a pot with a dinner table set and ready nearby, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"above"|"The lamp is above the table."|"A glowing lamp hanging directly above a wooden dining table in a cozy room, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"above"|"The temperature went above 100 degrees."|"A large outdoor thermometer showing a reading above 100 degrees under a blazing sun, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"abroad"|"She studied abroad for a year."|"A young woman with a backpack and suitcase standing in front of a foreign university, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"absence"|"His absence at the meeting was noticed."|"People sitting around a meeting table looking at one empty chair with a question mark, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"absolute"|"That's absolute nonsense."|"A person throwing their hands up looking at a completely ridiculous sign with silly symbols, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"absolutely"|"I absolutely love this place."|"A girl spreading her arms wide with a huge smile standing in a beautiful colorful garden, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"abstract"|"The painting is very abstract."|"A person standing in a museum looking at a canvas filled with colorful swirling abstract shapes, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"abuse"|"Verbal abuse can cause lasting damage."|"A person covering their ears looking sad while harsh words float around them like storm clouds, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"academic"|"He has a strong academic record."|"A boy holding up a school report card full of top grades and gold star stickers, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"accent"|"She has a Southern accent."|"A woman speaking with musical notes coming from her mouth shaped like a Southern US map, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"acceptable"|"That kind of behavior is not acceptable here."|"A teacher pointing to a classroom rule sign with a red X over a child misbehaving, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"acceptance"|"His acceptance into the program was a big deal."|"A boy jumping for joy holding an official acceptance letter with a big golden seal, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"access"|"We need access to clean water."|"A child turning on a tap as clean blue water flows freely into a bright cup, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"accessible"|"The museum is accessible by bus."|"A colorful bus stopping in front of a museum with people stepping off toward the entrance, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"accident"|"He broke his arm in an accident."|"A boy sitting on a sidewalk with his arm in a cast after falling off a bicycle, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"accomplishment"|"Finishing college was a major accomplishment for her."|"A young woman in a graduation cap and gown proudly holding her diploma on stage, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"according"|"According to the report, sales are up."|"A businesswoman pointing at a chart with rising bars while holding an official printed report, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"account"|"I forgot my account password."|"A person staring at a computer screen showing a locked padlock and a password error message, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"accountability"|"There must be accountability for those mistakes."|"A person standing before a panel of judges pointing at a list of mistakes on a board, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"accounting"|"She works in accounting at a big firm."|"A woman at a desk surrounded by spreadsheets and a calculator inside a large office building, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"accuracy"|"The accuracy of that data is questionable."|"A scientist squinting through a magnifying glass at a chart with wobbly uncertain numbers, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"accurate"|"Make sure your measurements are accurate."|"A child carefully using a ruler to measure a wooden plank with focused concentration, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"accurately"|"He described the event accurately."|"A boy pointing at a detailed drawing of an event while others nod in agreement around him, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"accusation"|"The accusation was never proven."|"A person standing in a courtroom with a question mark above their head as a judge looks doubtful, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"achievement"|"Winning the award was a great achievement."|"A smiling person holding a shiny trophy on a stage under bright lights, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"acid"|"Lemon juice contains acid."|"A cut lemon next to a glass of yellow juice with a chemistry symbol nearby, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"across"|"The school is across the street."|"A child pointing at a colorful school building on the other side of a wide street, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"across"|"She swam across to the other side."|"A girl swimming from one riverbank to the other side through blue water, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
