"illusion"|"The magician created an illusion of disappearing."|"A magician on stage vanishing in a puff of smoke while the audience watches in amazement, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"image"|"The campaign used a strong image to grab attention."|"A large colorful billboard poster on a city street stopping passersby in their tracks, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"imagination"|"Kids have a wild imagination."|"Two children sitting on a cloud imagining dragons castles and rockets floating around them, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"immediate"|"We need an immediate solution to this problem."|"A group of people gathered around a broken pipe with water flooding the floor urgently pointing, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"immediately"|"She immediately called 911 when she saw the accident."|"A woman on the sidewalk urgently calling on her phone while a car crash happens behind her, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"immigrant"|"Her grandfather came to the US as an immigrant from Italy."|"An old man with a suitcase stepping off a ship toward the Statue of Liberty waving a small Italian flag, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"immigration"|"Immigration policies have changed significantly in recent years."|"A family with luggage standing at an airport border checkpoint showing their passports to an officer, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"immune"|"Some people are naturally immune to certain viruses."|"A smiling person standing unaffected while cartoon viruses bounce harmlessly off a glowing shield around them, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"impact"|"The new law had a major impact on small businesses."|"A large falling gavel creating a shockwave that shakes tiny shop buildings on a street, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"implementation"|"The implementation of the new system took three months."|"Workers installing a large computer system in an office with a calendar showing three months crossed off, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"implication"|"The study has serious implications for public health."|"A scientist pointing at a chart with warning signs while doctors in the audience look concerned, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
"import"|"The import of foreign goods increased last year."|"A cargo ship unloading many boxes labeled with foreign flags at a busy seaport dock, A simple children's painting style, naive art, cute, minimalist, colorful crayon drawing, clear definition"
