mate,My mate and I play soccer.,amigo,Meu amigo e eu jogamos futebol.
o'clock,School starts at eight o'clock.,horas,A escola começa às oito horas.
Greek,The Greek food was very tasty.,grego,A comida grega era muito gostosa.
genius,Einstein was a true genius.,gênio,Einstein era um verdadeiro gênio.
monument,We visited a big monument today.,monumento,Visitamos um grande monumento hoje.
bid,He made a bid for the old book.,oferta,Ele fez uma oferta pelo livro antigo.
quest,The hero began his quest for treasure.,missão,O herói começou sua missão por um tesouro.
sacrifice,She made a big sacrifice for her family.,sacrifício,Ela fez um grande sacrifício pela família.
invitation,I got an invitation to her party.,convite,Recebi um convite para a festa dela.
accuracy,Good accuracy is important in math.,precisão,Boa precisão é importante na matemática.
juror,The juror listened to the whole case.,jurado,O jurado ouviu todo o caso.
officially,The game officially starts at noon.,oficialmente,O jogo começa oficialmente ao meio-dia.
broker,The broker helped us buy the house.,corretor,O corretor nos ajudou a comprar a casa.
treasure,The pirates found a hidden treasure.,tesouro,Os piratas encontraram um tesouro escondido.
loyalty,Loyalty is very important in friendship.,lealdade,Lealdade é muito importante na amizade.
to credit,We must credit her for the great idea.,dar crédito,Devemos dar crédito a ela pela ótima ideia.
to shock,The loud noise did shock everyone.,chocar,O barulho alto chocou a todos.
talented,She is a very talented young singer.,talentoso,Ela é uma cantora jovem muito talentosa.
gasoline,The car needs more gasoline to run.,gasolina,O carro precisa de mais gasolina para andar.
stiff,My legs are stiff after the long run.,rígido,Minhas pernas estão rígidas após a corrida.
output,The factory's output grew this year.,produção,A produção da fábrica cresceu este ano.
nominee,She was the nominee for best student.,indicado,Ela foi a indicada para melhor aluna.
extended,We had an extended break today.,estendido,Tivemos um intervalo estendido hoje.
to please,He worked hard to please his teacher.,agradar,Ele se esforçou para agradar sua professora.
diabetes,My grandfather has diabetes.,diabetes,Meu avô tem diabetes.
to slap,It is wrong to slap someone.,dar um tapa,É errado dar um tapa em alguém.
toxic,That plant is toxic to animals.,tóxico,Essa planta é tóxica para os animais.
alleged,The alleged thief was taken away.,suposto,O suposto ladrão foi levado embora.
jaw,He hurt his jaw during the fall.,mandíbula,Ele machucou a mandíbula durante a queda.
grief,She felt great grief after her loss.,luto,Ela sentiu grande luto após sua perda.
mysterious,The old house looked very mysterious.,misterioso,A casa antiga parecia muito misteriosa.
rocket,The rocket flew high into the sky.,foguete,O foguete voou alto no céu.
to donate,They will donate books to the school.,doar,Eles vão doar livros para a escola.
inmate,The inmate read books every day.,detento,O detento lia livros todos os dias.
to tackle,We need to tackle this problem now.,enfrentar,Precisamos enfrentar esse problema agora.
dynamics,The dynamics of the team changed fast.,dinâmica,A dinâmica da equipe mudou rápido.
bow,The archer held his bow up high.,arco,O arqueiro ergueu seu arco bem alto.
ours,This dog is ours; we love him.,nosso,Este cachorro é nosso; nós o amamos.
senior,The senior student helped the younger ones.,veterano,O aluno veterano ajudou os mais novos.
dignity,Every person deserves to live with dignity.,dignidade,Toda pessoa merece viver com dignidade.
carpet,The cat slept on the soft carpet.,tapete,O gato dormiu no tapete macio.
parental,Parental love is very strong and deep.,parental,O amor parental é muito forte e profundo.
bubble,She blew a big bubble with her gum.,bolha,Ela fez uma grande bolha com o chiclete.
to heat,Please heat the soup before eating.,aquecer,Por favor aqueça a sopa antes de comer.
buddy,My buddy and I ride bikes together.,companheiro,Meu companheiro e eu andamos de bicicleta juntos.
barn,The horses sleep inside the big barn.,celeiro,Os cavalos dormem dentro do grande celeiro.
sword,The knight carried a shiny sword.,espada,O cavaleiro carregava uma espada brilhante.
flash,A bright flash lit up the dark sky.,clarão,Um clarão iluminou o céu escuro.
seventh,She finished in seventh place today.,sétimo,Ela terminou em sétimo lugar hoje.
glory,The team won the cup in great glory.,glória,O time venceu a copa com grande glória.
tightly,Hold the rope tightly.,firmemente,Segure a corda firmemente.
protective,She is protective of her little brother.,protetor,Ela é protetora do irmão mais novo.
to tuck,He will tuck the shirt into his pants.,enfiar,Ele vai enfiar a camisa nas calças.
drum,She plays the drum in the band.,tambor,Ela toca tambor na banda.
faint,The sick boy felt faint in the sun.,fraco,O menino doente se sentiu fraco no sol.
to post,I will post a letter to my friend.,enviar,Vou enviar uma carta para meu amigo.
queen,The queen wore a golden crown.,rainha,A rainha usava uma coroa dourada.
dilemma,He had a dilemma: study or play.,dilema,Ele tinha um dilema: estudar ou brincar.
input,Your input helped us finish the project.,contribuição,Sua contribuição nos ajudou a terminar o projeto.
to specialize,She wants to specialize in animals.,especializar-se,Ela quer se especializar em animais.
northeast,They traveled to the northeast of Brazil.,nordeste,Eles viajaram para o nordeste do Brasil.
shallow,The kids played in the shallow water.,raso,As crianças brincaram na água rasa.
liability,The broken fence is a liability.,responsabilidade,A cerca quebrada é uma responsabilidade.
to sail,We will sail across the big lake.,navegar,Vamos navegar pelo grande lago.
merchant,The merchant sold fruits at the market.,comerciante,O comerciante vendia frutas no mercado.
stadium,The stadium was full of excited fans.,estádio,O estádio estava cheio de fãs animados.
improved,Her reading improved a lot this year.,melhorou,Sua leitura melhorou muito este ano.
bloody,The knight had a bloody cut on his arm.,sangrento,O cavaleiro tinha um corte sangrento no braço.
defeat,Our team did not accept defeat easily.,derrota,Nosso time não aceitou a derrota facilmente.
associated,Sugar is associated with tooth problems.,associado,O açúcar é associado a problemas nos dentes.
withdrawal,He made a withdrawal from the bank.,retirada,Ele fez uma retirada no banco.
refrigerator,Put the milk in the refrigerator.,geladeira,Coloque o leite na geladeira.
nest,The bird built a nest in the tree.,ninho,O pássaro construiu um ninho na árvore.
near,The school is near my house.,perto,A escola fica perto da minha casa.
thoroughly,She thoroughly cleaned her bedroom.,completamente,Ela limpou o quarto completamente.
lane,Ride your bike in the correct lane.,faixa,Ande de bicicleta na faixa correta.
ancestor,My ancestor came from Portugal.,ancestral,Meu ancestral veio de Portugal.
to condemn,It is wrong to condemn someone unfairly.,condenar,É errado condenar alguém injustamente.
steam,Steam rises from the hot soup.,vapor,O vapor sobe da sopa quente.
accent,She speaks English with a strong accent.,sotaque,Ela fala inglês com sotaque forte.
escape,The rabbit tried to escape from the box.,escapar,O coelho tentou escapar da caixa.
optimistic,He is always optimistic about the future.,otimista,Ele é sempre otimista sobre o futuro.
to unite,We must unite to solve the problem.,unir,Devemos nos unir para resolver o problema.
cage,The bird sang inside its cage.,gaiola,O pássaro cantou dentro da gaiola.
to equip,The teacher will equip students with tools.,equipar,A professora vai equipar os alunos com ferramentas.
shrimp,She loves to eat shrimp with rice.,camarão,Ela adora comer camarão com arroz.
homeland,He misses his homeland very much.,pátria,Ele sente muita saudade da sua pátria.
to exchange,Let us exchange gifts at Christmas.,trocar,Vamos trocar presentes no Natal.
rack,Hang your coat on the rack.,suporte,Pendure seu casaco no suporte.
costume,She wore a princess costume at the party.,fantasia,Ela usou uma fantasia de princesa na festa.
wolf,The wolf howled at the full moon.,lobo,O lobo uivou para a lua cheia.
courtroom,The judge spoke clearly in the courtroom.,tribunal,O juiz falou claramente no tribunal.
statute,The new statute protects children at school.,estatuto,O novo estatuto protege as crianças na escola.
cartoon,He laughed at the funny cartoon.,desenho animado,Ele riu do desenho animado engraçado.
besides,Besides math; she also loves art.,além disso,Além disso; ela também ama arte.
productivity,Good sleep improves your productivity at school.,produtividade,Dormir bem melhora sua produtividade na escola.
to grin,She began to grin at the joke.,sorrir,Ela começou a sorrir com a piada.
symbolic,The dove is a symbolic bird of peace.,simbólico,A pomba é um pássaro simbólico da paz.
seal,The seal clapped its flippers happily.,foca,A foca bateu as nadadeiras feliz.
bug,A tiny bug crawled across the leaf.,inseto,Um pequeno inseto rastejou pela folha.
to bless,The priest will bless the children.,abençoar,O padre vai abençoar as crianças.
aunt,My aunt makes delicious cake.,tia,Minha tia faz bolo delicioso.
agriculture,Agriculture gives us food to eat.,agricultura,A agricultura nos dá comida para comer.
to rock,She likes to rock the baby.,embalar,Ela gosta de embalar o bebê.
hostile,The dog was hostile to strangers.,hostil,O cachorro era hostil com estranhos.
to root,We root for our school team.,torcer,Nós torcemos pelo time da escola.
to conceive,It is hard to conceive a new idea.,conceber,É difícil conceber uma ideia nova.
combined,We combined flour and sugar together.,combinado,Nós combinamos farinha e açúcar juntos.
instantly,She instantly knew the right answer.,instantaneamente,Ela instantaneamente soube a resposta certa.
bankruptcy,The store closed after bankruptcy.,falência,A loja fechou após a falência.
vaccine,The vaccine keeps us safe from illness.,vacina,A vacina nos protege de doenças.
bonus,He got a bonus for good work.,bônus,Ele recebeu um bônus pelo bom trabalho.
collaboration,Our project was a great collaboration.,colaboração,Nosso projeto foi uma ótima colaboração.
mixed,She mixed red and blue paint.,misturado,Ela misturou tinta vermelha e azul.
opposed,He was opposed to the new rule.,oposto,Ele era oposto à nova regra.
orbit,The moon is in orbit around Earth.,órbita,A lua está em órbita ao redor da Terra.
to grasp,Try to grasp the rope tightly.,agarrar,Tente agarrar a corda com força.
patience,Patience is important when learning.,paciência,A paciência é importante ao aprender.
spite,He smiled in spite of the rain.,apesar de,Ele sorriu apesar da chuva.
tropical,We saw tropical birds at the zoo.,tropical,Vimos pássaros tropicais no zoológico.
voting,Voting helps choose our leaders.,votação,A votação ajuda a escolher nossos líderes.
patrol,The guard does a patrol every night.,patrulha,O guarda faz uma patrulha toda noite.
willingness,Her willingness to help was great.,disposição,A disposição dela para ajudar foi ótima.
to position,Please position the chair near the desk.,posicionar,Por favor posicione a cadeira perto da mesa.
revelation,The ending was a big revelation.,revelação,O final foi uma grande revelação.
rent,My family pays rent every month.,aluguel,Minha família paga aluguel todo mês.
to calm,Take a breath to calm yourself.,acalmar,Respire fundo para se acalmar.
jewelry,She wore beautiful jewelry to the party.,joia,Ela usou joias bonitas na festa.
Cuban,Cuban music is very lively and fun.,cubano,A música cubana é muito animada e divertida.
to haul,The workers haul boxes to the truck.,arrastar,Os trabalhadores arrastam caixas até o caminhão.
to concede,He had to concede that she was right.,conceder,Ele teve que conceder que ela estava certa.
trace,The detective found a trace of mud.,vestígio,O detetive encontrou um vestígio de lama.
wagon,The farmer carried hay in a wagon.,carroça,O fazendeiro carregou feno em uma carroça.
afterward,We played and afterward had dinner.,depois,Nós brincamos e depois jantamos.
spectacular,The fireworks show was spectacular.,espetacular,O show de fogos foi espetacular.
to ruin,Rain can ruin a picnic quickly.,arruinar,A chuva pode arruinar um piquenique rapidamente.
sheer,It was sheer luck that she won.,puro,Foi pura sorte que ela ganhou.
prior,Wash your hands prior to eating.,anterior,Lave as mãos antes de comer.
immune,Some people are immune to certain diseases.,imune,Algumas pessoas são imunes a certas doenças.
reliability,His reliability made him a great helper.,confiabilidade,A confiabilidade dele o tornou um ótimo ajudante.
ass,The farmer rode a small ass uphill.,asno,O fazendeiro montou um pequeno asno morro acima.
alongside,She walked alongside her best friend.,ao lado de,Ela caminhou ao lado de sua melhor amiga.
bush,A small bird hid inside the bush.,arbusto,Um pássaro pequeno se escondeu dentro do arbusto.
exotic,The market had many exotic fruits.,exótico,O mercado tinha muitas frutas exóticas.
fascinating,Space is a fascinating topic to study.,fascinante,O espaço é um tema fascinante para estudar.
secure,Make sure your backpack is secure.,seguro,Certifique-se de que sua mochila está segura.
clip,She used a clip to hold her papers.,clipe,Ela usou um clipe para prender seus papéis.
thigh,He hurt his thigh during the race.,coxa,Ele machucou a coxa durante a corrida.
bull,The bull ran across the open field.,touro,O touro correu pelo campo aberto.
drawer,She kept her pencils in the drawer.,gaveta,Ela guardava seus lápis na gaveta.
regard,I have great regard for my teacher.,respeito,Tenho grande respeito pela minha professora.
sheep,The sheep is eating grass in the field.,ovelha,A ovelha está comendo grama no campo.
to discourage,Do not discourage your friends from trying.,desanimar,Não desanime seus amigos de tentar.
coordinator,The coordinator helped plan the school event.,coordenador,O coordenador ajudou a planejar o evento escolar.
ideological,They have different ideological views on politics.,ideológico,Eles têm visões ideológicas diferentes sobre política.
runner,The runner finished the race in first place.,corredor,O corredor terminou a corrida em primeiro lugar.
secular,The secular school does not teach religion.,laico,A escola laica não ensina religião.
intimate,She shared an intimate secret with her best friend.,íntimo,Ela compartilhou um segredo íntimo com sua melhor amiga.
empire,The Roman Empire was very powerful and large.,império,O Império Romano era muito poderoso e grande.
cab,We took a cab to the airport.,táxi,Pegamos um táxi para o aeroporto.
to divorce,Her parents decided to divorce last year.,divorciar-se,Os pais dela decidiram se divorciar no ano passado.
exam,I studied hard for my math exam.,prova,Estudei muito para minha prova de matemática.
documentary,We watched a documentary about ocean animals.,documentário,Assistimos a um documentário sobre animais do oceano.
neutral,The referee must stay neutral during the game.,neutro,O árbitro deve permanecer neutro durante o jogo.
biology,We learned about plants in biology class.,biologia,Aprendemos sobre plantas na aula de biologia.
flexible,A gymnast needs to be very flexible.,flexível,Uma ginasta precisa ser muito flexível.
progressive,The school uses progressive teaching methods.,progressivo,A escola usa métodos de ensino progressivos.
web,The spider built a web between two trees.,teia,A aranha construiu uma teia entre duas árvores.
conspiracy,The kids invented a funny conspiracy about the teacher.,conspiração,As crianças inventaram uma conspiração engraçada sobre a professora.
catch,Try to catch the ball with both hands.,pegar,Tente pegar a bola com as duas mãos.
casualty,There was one casualty after the accident.,vítima,Houve uma vítima após o acidente.
republic,Brazil is a republic with an elected president.,república,O Brasil é uma república com presidente eleito.
execution,The execution of the plan was perfect.,execução,A execução do plano foi perfeita.
terrific,You did a terrific job on your drawing.,incrível,Você fez um trabalho incrível no seu desenho.
whale,The whale swam slowly near the boat.,baleia,A baleia nadou devagar perto do barco.
functional,The old computer is still functional.,funcional,O computador antigo ainda é funcional.
to star,She will star in the school play.,estrelar,Ela vai estrelar a peça da escola.
to draft,He began to draft his essay on Monday.,rascunhar,Ele começou a rascunhar sua redação na segunda-feira.
instinct,Animals use instinct to find food and safety.,instinto,Os animais usam o instinto para encontrar comida e segurança.
teammate,My teammate scored the winning goal.,colega de time,Meu colega de time marcou o gol da vitória.
aluminum,The can is made of aluminum.,alumínio,A lata é feita de alumínio.
whoever,Whoever finishes first can go outside.,quem quer que,Quem quer que termine primeiro pode sair.
ministry,The ministry of education set new school rules.,ministério,O ministério da educação definiu novas regras escolares.
verdict,The jury gave their verdict after the trial.,veredicto,O júri deu seu veredicto após o julgamento.
to instruct,The coach will instruct us on the new moves.,instruir,O treinador vai nos instruir sobre os novos movimentos.
skull,The skull is the bone that protects your brain.,crânio,O crânio é o osso que protege seu cérebro.
self-esteem,Reading good books can improve your self-esteem.,autoestima,Ler bons livros pode melhorar sua autoestima.
ease,She solved the puzzle with great ease.,facilidade,Ela resolveu o quebra-cabeça com grande facilidade.
cooperative,A cooperative student always helps others in class.,cooperativo,Um aluno cooperativo sempre ajuda os outros em aula.
to manipulate,It is wrong to manipulate your friends.,manipular,É errado manipular seus amigos.
bee,The bee flew from flower to flower.,abelha,A abelha voou de flor em flor.
practitioner,A medical practitioner helps sick people feel better.,profissional,Um profissional médico ajuda pessoas doentes a se sentirem melhor.
loop,The ribbon was tied in a loop.,laço,A fita foi amarrada em um laço.
to edit,Please edit your text before sending it.,editar,Por favor edite seu texto antes de enviar.
to whip,The cook will whip the cream for the cake.,bater,O cozinheiro vai bater o creme para o bolo.
puzzle,This puzzle has five hundred pieces.,quebra-cabeça,Este quebra-cabeça tem quinhentas peças.
mushroom,She found a big mushroom in the forest.,cogumelo,Ela encontrou um grande cogumelo na floresta.
subsidy,The government gave a subsidy to help farmers.,subsídio,O governo deu um subsídio para ajudar os agricultores.
to boil,Remember to boil the water before drinking it.,ferver,Lembre-se de ferver a água antes de bebê-la.
tragic,It was tragic that the puppy got lost.,trágico,Foi trágico que o filhote se perdeu.
mathematics,I love mathematics class.,matemática,Eu amo a aula de matemática.
mechanic,The mechanic fixed our car.,mecânico,O mecânico consertou nosso carro.
jar,There is honey in the jar.,pote,Tem mel no pote.
respect,We must respect our teachers.,respeito,Devemos respeitar nossos professores.
earthquake,The earthquake shook the buildings.,terremoto,O terremoto sacudiu os prédios.
pork,We had pork for dinner.,carne de porco,Comemos carne de porco no jantar.
creativity,Your creativity is amazing.,criatividade,Sua criatividade é incrível.
safely,She crossed the street safely.,com segurança,Ela atravessou a rua com segurança.
underlying,Fear was the underlying problem.,subjacente,O medo era o problema subjacente.
dessert,I want ice cream for dessert.,sobremesa,Quero sorvete de sobremesa.
sympathy,He showed sympathy for his friend.,simpatia,Ele mostrou simpatia pelo amigo.
fisherman,The fisherman caught a big fish.,pescador,O pescador pegou um peixe grande.
incredibly,The movie was incredibly fun.,incrivelmente,O filme foi incrivelmente divertido.
isolation,Isolation made him feel sad.,isolamento,O isolamento o fez sentir tristeza.
sock,I lost one sock today.,meia,Perdi uma meia hoje.
near,The school is near my house.,perto,A escola fica perto da minha casa.
jump,Can you jump over that?,pular,Você consegue pular por cima disso?
eleven,There are eleven players on the team.,onze,Há onze jogadores no time.
sexy,That word is for adults only.,sensual,Essa palavra é só para adultos.
entrepreneur,An entrepreneur starts new businesses.,empreendedor,Um empreendedor abre novos negócios.
syndrome,Down syndrome is a genetic condition.,síndrome,A síndrome de Down é genética.
bureau,The bureau keeps important documents.,agência,A agência guarda documentos importantes.
to seat,Please seat the guests here.,sentar,Por favor; sente os convidados aqui.
workplace,She is happy at her workplace.,local de trabalho,Ela é feliz no seu local de trabalho.
ambition,His ambition is to be a doctor.,ambição,Sua ambição é ser médico.
touchdown,He scored a touchdown in the game.,touchdown,Ele marcou um touchdown no jogo.
to utilize,We can utilize this box for storage.,utilizar,Podemos utilizar essa caixa para guardar coisas.
breeze,A cool breeze came through the window.,brisa,Uma brisa fresca entrou pela janela.
costly,That toy is too costly.,caro,Aquele brinquedo é caro demais.
ambitious,She is ambitious and works hard.,ambicioso,Ela é ambiciosa e trabalha muito.
Christianity,Christianity is a major world religion.,Cristianismo,O Cristianismo é uma grande religião mundial.
presumably,He is presumably at home now.,presumivelmente,Ele está presumivelmente em casa agora.
influential,She is an influential teacher.,influente,Ela é uma professora influente.
translation,The translation of the book was good.,tradução,A tradução do livro foi boa.
uncertain,The weather tomorrow is uncertain.,incerto,O tempo amanhã está incerto.
to dissolve,The sugar will dissolve in water.,dissolver,O açúcar vai se dissolver na água.
to object,He started to object to the plan.,objetar,Ele começou a objetar ao plano.
statistical,The statistical data shows the result.,estatístico,Os dados estatísticos mostram o resultado.
gut,Trust your gut feeling.,instinto,Confie no seu instinto.
