the,The dog is in the house.,o/a,O cachorro está na casa.,[sound:001_the.mp3]
to be,I want to be a doctor.,ser/estar,Eu quero ser um médico.,[sound:002_to_be.mp3]
and,I have a cat and a dog.,e,Eu tenho um gato e um cachorro.,[sound:003_and.mp3]
of,This is a glass of water.,de,Este é um copo de água.,[sound:004_of.mp3]
a,I have a new book.,um/uma,Eu tenho um livro novo.,[sound:005_a.mp3]
in,The cat is in the box.,em,O gato está na caixa.,[sound:006_in.mp3]
to have,I have two brothers.,ter,Eu tenho dois irmãos.,[sound:007_to_have.mp3]
to,She walks to school every day.,para,Ela caminha para a escola todo dia.,[sound:008_to.mp3]
it,It is a very big dog.,isso/ele/ela,Isso é um cachorro muito grande.,[sound:009_it.mp3]
I,I like to eat pizza.,eu,Eu gosto de comer pizza.,[sound:010_i.mp3]
that,I think that this is fun.,que,Eu acho que isso é divertido.,[sound:011_that.mp3]
for,This gift is for you.,para,Este presente é para você.,[sound:012_for.mp3]
you,You are my best friend.,você,Você é meu melhor amigo.,[sound:013_you.mp3]
he,He plays soccer every day.,ele,Ele joga futebol todo dia.,[sound:014_he.mp3]
with,She came with her mother.,com,Ela veio com a mãe dela.,[sound:015_with.mp3]
on,The book is on the table.,em cima de,O livro está em cima da mesa.,[sound:016_on.mp3]
to do,I need to do my homework.,fazer,Eu preciso fazer minha lição de casa.,[sound:017_to_do.mp3]
to say,I want to say hello.,dizer,Eu quero dizer olá.,[sound:018_to_say.mp3]
this,This apple is very red.,este/esta/isso,Esta maçã é muito vermelha.,[sound:019_this.mp3]
they,They play in the park.,eles/elas,Eles brincam no parque.,[sound:020_they.mp3]
at,She is at school now.,em/no/na,Ela está na escola agora.,[sound:021_at.mp3]
but,I like cats but not dogs.,mas,Eu gosto de gatos mas não de cachorros.,[sound:022_but.mp3]
we,We go to school together.,nós,Nós vamos para a escola juntos.,[sound:023_we.mp3]
his,His dog is very friendly.,dele/seu,O cachorro dele é muito amigável.,[sound:024_his.mp3]
from,She is from Brazil.,de,Ela é do Brasil.,[sound:025_from.mp3]
that,The ball that he kicked was red.,que,A bola que ele chutou era vermelha.,[sound:026_that.mp3]
not,I do not like spiders.,não,Eu não gosto de aranhas.,[sound:027_not.mp3]
n't,She doesn't like cold water.,não (contração),Ela não gosta de água fria.,[sound:028_n't.mp3]
by,The book was written by her.,por,O livro foi escrito por ela.,[sound:029_by.mp3]
she,She has a pretty dress.,ela,Ela tem um vestido bonito.,[sound:030_she.mp3]
or,Do you want juice or water?,ou,Você quer suco ou água?,[sound:031_or.mp3]
as,She runs as fast as him.,tão/como,Ela corre tão rápido quanto ele.,[sound:032_as.mp3]
what,What is your favorite color?,o que/qual,Qual é a sua cor favorita?,[sound:033_what.mp3]
to go,I want to go to the park.,ir,Eu quero ir ao parque.,[sound:034_to_go.mp3]
their,Their house is very big.,deles/delas/seu,A casa deles é muito grande.,[sound:035_their.mp3]
can,She can swim very well.,poder/conseguir,Ela consegue nadar muito bem.,[sound:036_can.mp3]
who,Who is your best friend?,quem,Quem é seu melhor amigo?,[sound:037_who.mp3]
to get,I want to get a new toy.,pegar/conseguir,Eu quero conseguir um brinquedo novo.,[sound:038_to_get.mp3]
if,We play outside if it is sunny.,se,Nós brincamos fora se estiver ensolarado.,[sound:039_if.mp3]
would,She would like some cake.,gostaria/iria,Ela gostaria de um bolo.,[sound:040_would.mp3]
her,I gave her a flower.,ela/dela,Eu dei uma flor para ela.,[sound:041_her.mp3]
all,All the kids love recess.,todos/tudo,Todas as crianças adoram o recreio.,[sound:042_all.mp3]
my,My cat is orange.,meu/minha,Meu gato é laranja.,[sound:043_my.mp3]
to make,I want to make a cake.,fazer/criar,Eu quero fazer um bolo.,[sound:044_to_make.mp3]
about,Tell me about your day.,sobre,Me conte sobre o seu dia.,[sound:045_about.mp3]
