46,about,This is a book <b>about</b> animals.,sobre,Este é um livro <b>sobre</b> animais.
179,about,He is walking <b>about</b>.,sobre,Ele está andando <b>sobre</b>.
896,above,The bird is <b>above</b> the tree.,"acima de, em cima de",O pássaro está <b>acima de</b> a árvore.
1599,above,Look at the stars <b>above</b>.,acima de,Olhe para as estrelas <b>acima de</b>.
378,across,The dog runs <b>across</b> the street.,"através de, do outro lado",O cachorro corre <b>através de</b> a rua.
3154,across,The boy swims <b>across</b>.,através,O menino nada <b>através</b>.
2065,addition,In <b>addition</b> to games I like books.,adição,Em <b>adição</b> a jogos eu gosto de livros.
3976,addition,Math has <b>addition</b>.,adição,A matemática tem <b>adição</b>.
120,after,I play <b>after</b> school.,depois,Eu brinco <b>depois</b> da escola.
260,after,We sleep <b>after</b> we play.,depois,Nós dormimos <b>depois</b> que nós brincamos.
1028,ahead,Walk straight <b>ahead</b>.,"adiante, à frente ",Ande direto <b>à frente</b>.
2672,ahead,The car is <b>ahead</b> of us.,à frente,O carro está <b>à frente</b> de nós.
43,all,I love <b>all</b> animals.,"tudo, todoa,os, as",Eu amo <b>todos</b> os animais.
222,all,The baby is <b>all</b> clean.,todo,O bebê está <b>todo</b> limpo.
1101,alone,He reads a book <b>alone</b>.,sozinho,Ele lê um livro <b>sozinho</b>.
1620,alone,The boy is <b>alone</b> in the room.,sozinho,O menino está <b>sozinho</b> no quarto.
448,along,We walk <b>along</b> the beach.,ao longo de,Nós andamos <b>ao longo de</b> a praia.
1200,along,Please come <b>along</b>.,ao longo de,Por favor venha <b>ao longo de</b>.
2089,alternative,We have a good <b>alternative</b>.,alternativa,Nós temos uma boa <b>alternativa</b>.
2600,alternative,This is an <b>alternative</b> route.,alternativo,Esta é uma rota <b>alternativa</b>.
176,American,I like <b>American</b> heroes.,americano,Eu gosto de heróis <b>americanos</b>.
545,American,He is an <b>American</b>.,americano,Ele é um <b>americano</b>.
145,another,I want <b>another</b> apple.,outro,Eu quero <b>outra</b> maçã.
2337,another,Please give me <b>another</b>.,outro,Por favor me dê <b>outro</b>.
109,any,Pick <b>any</b> color you want.,qualquer uma,Escolha <b>qualquer uma</b> cor que você quiser.
4720,any,Do you have <b>any</b> milk?,algum,Você tem <b>algum</b> leite?
1984,apart,The toys are <b>apart</b>.,separado,Os brinquedos estão <b>separados</b>.
4785,apart,Keep them <b>apart</b> from each other.,separado,Mantenha eles <b>separados</b> um do outro.
2221,Arab,He eats <b>Arab</b> food.,árabe,Ele come comida <b>árabe</b>.
3997,Arab,The man is an <b>Arab</b>.,árabe,O homem é um <b>árabe</b>.
265,around,We sit <b>around</b> the table.,"por volta de, ao redor de",Nós sentamos <b>ao redor de</b> a mesa.
327,around,I have <b>around</b> ten coins.,"por volta de, aproximadamente",Eu tenho <b>aproximadamente</b> dez moedas.
33,as,She is tall <b>as</b> a tree.,como,Ela é alta <b>como</b> uma árvore.
49,as,He acts <b>as</b> a hero.,como,Ele age <b>como</b> um herói.
129,as,It is <b>as</b> big <b>as</b> a car.,"tanto, como",Isso é <b>tanto</b> grande <b>como</b> um carro.
2729,assistant,She is a great <b>assistant</b>.,assistente,Ela é uma ótima <b>assistente</b>.
2849,assistant,He is the <b>assistant</b> teacher.,assistente,Ele é o professor <b>assistente</b>.
4408,associate,He is my work <b>associate</b>.,associado,Ele é meu <b>associado</b> de trabalho.
4465,associate,She is an <b>associate</b> doctor.,associado,Ela é uma médica <b>associada</b>.
1306,average,He is an <b>average</b> boy.,a média,Ele é um menino <b>na média</b>.
1454,average,My score is above the <b>average</b>.,a média,Minha pontuação está acima d<b>a média</b>.
270,away,The bird flies <b>away</b>.,longe,O pássaro voa para <b>longe</b>.
738,away,Stay <b>away</b> from the fire.,longe,Fique <b>longe</b> do fogo.
108,back,Come <b>back</b> home.,"para trás, de volta",Venha <b>de volta</b> para casa.
323,back,My <b>back</b> is strong.,costas,Minhas <b>costas</b> são fortes.
89,because,I smile <b>because</b> I am happy.,"porque, pois",Eu sorrio <b>porque</b> eu estou feliz.
