"lemon"|"Can I have a slice of lemon in my water?"|"limão(substantivo)"|"Posso ter uma rodela de limão na minha água?"
"length"|"What's the length of the table?"|"comprimento(substantivo)"|"Qual é o comprimento da mesa?"
"lens"|"I cracked the lens on my glasses."|"lente(substantivo)"|"Eu rachei a lente dos meus óculos."
"less"|"I've been sleeping less lately."|"menos(advérbio)"|"Tenho dormido menos ultimamente."
"less"|"We have less time than I thought."|"menos(determinante)"|"Temos menos tempo do que eu pensava."
"lesson"|"The piano lesson lasts one hour."|"aula(substantivo)"|"A aula de piano dura uma hora."
"letter"|"She got a letter in the mail today."|"carta(substantivo)"|"Ela recebeu uma carta pelo correio hoje."
"level"|"The water level is rising."|"nível(substantivo)"|"O nível da água está subindo."
"level"|"Make sure the shelf is level before you screw it in."|"nivelado(adjetivo)"|"Certifique-se de que a prateleira está nivelada antes de parafusar."
"liability"|"The company denied any liability for the accident."|"responsabilidade legal(substantivo)"|"A empresa negou qualquer responsabilidade legal pelo acidente."
"liberal"|"She has very liberal views on education."|"liberal(adjetivo)"|"Ela tem visões bem liberais sobre educação."
"liberal"|"He's always been a liberal."|"liberal(substantivo)"|"Ele sempre foi um liberal."
"liberty"|"Freedom of speech is a fundamental liberty."|"liberdade(substantivo)"|"A liberdade de expressão é uma liberdade fundamental."
"library"|"I returned the books to the library."|"biblioteca(substantivo)"|"Eu devolvi os livros à biblioteca."
"license"|"He lost his driver's license after the accident."|"carteira de habilitação(substantivo)"|"Ele perdeu a carteira de habilitação depois do acidente."
"lid"|"Can you put the lid back on the pot?"|"tampa(substantivo)"|"Você pode colocar a tampa de volta na panela?"
"lie"|"Everything he told her was a lie."|"mentira(substantivo)"|"Tudo que ele disse a ela era mentira."
"life"|"She dedicated her life to helping others."|"vida(substantivo)"|"Ela dedicou a vida a ajudar os outros."
"lifestyle"|"Moving to the countryside changed his lifestyle completely."|"estilo de vida(substantivo)"|"Mudar para o interior mudou completamente o estilo de vida dele."
"lifetime"|"This is a once-in-a-lifetime opportunity."|"vida toda(substantivo)"|"Essa é uma oportunidade única na vida."
"light"|"The light in this room is too dim."|"luz(substantivo)"|"A luz nesse cômodo está fraca demais."
"light"|"This bag is surprisingly light."|"leve(adjetivo)"|"Essa bolsa é surpreendentemente leve."
"light"|"We arrived light on supplies."|"com pouco(preposição)"|"Chegamos com poucos suprimentos."
"lighting"|"The lighting at the restaurant was very romantic."|"iluminação(substantivo)"|"A iluminação do restaurante era muito romântica."
"lightly"|"She tapped him lightly on the shoulder."|"levemente(advérbio)"|"Ela bateu levemente no ombro dele."
"lightning"|"We saw lightning in the distance."|"relâmpago(substantivo)"|"Vimos relâmpagos ao longe."
"like"|"She looks just like her mother."|"igual a(preposição)"|"Ela é igualzinha à mãe."
"like"|"It feels like it's going to rain."|"como se(conjunção)"|"Parece que vai chover."
"like"|"They have like interests in music."|"semelhante(adjetivo)"|"Eles têm gostos musicais semelhantes."
"like"|"I never felt like this before."|"assim(advérbio)"|"Nunca me senti assim antes."
"likelihood"|"There's a high likelihood of rain tomorrow."|"probabilidade(substantivo)"|"Há uma grande probabilidade de chuva amanhã."
"likely"|"She's the most likely candidate for the job."|"provável(adjetivo)"|"Ela é a candidata mais provável para o cargo."
"likely"|"He'll most likely be late."|"provavelmente(advérbio)"|"Ele provavelmente vai se atrasar."
"likewise"|"She smiled, and he did likewise."|"da mesma forma(advérbio)"|"Ela sorriu, e ele fez o mesmo."
"limb"|"The surgeon had to remove the injured limb."|"membro(substantivo)"|"O cirurgião teve que amputar o membro lesionado."
"limit"|"There's a speed limit of 30 here."|"limite(substantivo)"|"Há um limite de velocidade de 30 aqui."
"limitation"|"Everyone has their limitations."|"limitação(substantivo)"|"Todo mundo tem suas limitações."
"limited"|"We have a limited amount of time."|"limitado(adjetivo)"|"Temos uma quantidade limitada de tempo."
"line"|"There's a long line at the checkout."|"fila(substantivo)"|"Tem uma fila grande no caixa."
"link"|"Is there a link between stress and illness?"|"ligação(substantivo)"|"Existe uma ligação entre estresse e doença?"
"lion"|"A lion roared in the distance."|"leão(substantivo)"|"Um leão rugiu ao longe."
"lip"|"She bit her lip nervously."|"lábio(substantivo)"|"Ela mordeu o lábio de nervoso."
"liquid"|"Drink plenty of liquid when you're sick."|"líquido(substantivo)"|"Beba bastante líquido quando estiver doente."
"liquid"|"The chocolate became liquid in the heat."|"líquido(adjetivo)"|"O chocolate ficou líquido com o calor."
"list"|"I made a shopping list before going to the store."|"lista(substantivo)"|"Eu fiz uma lista de compras antes de ir ao mercado."
"listener"|"She's a great listener."|"ouvinte(substantivo)"|"Ela é ótima ouvinte."
"literally"|"The whole city literally shut down during the storm."|"literalmente(advérbio)"|"A cidade literalmente parou durante a tempestade."
"literary"|"She has a deep literary knowledge."|"literário(adjetivo)"|"Ela tem um vasto conhecimento literário."
"literature"|"He studied English literature in college."|"literatura(substantivo)"|"Ele estudou literatura inglesa na faculdade."
"little"|"There's very little food left in the fridge."|"pouco(adjetivo)"|"Tem muito pouca comida na geladeira."
"little"|"She speaks little English, but she's learning fast."|"pouco(advérbio)"|"Ela fala pouco inglês, mas está aprendendo rápido."
"little"|"We have little time before the meeting starts."|"pouco(determinante)"|"Temos pouco tempo antes da reunião começar."
"live"|"The concert is live tonight."|"ao vivo(adjetivo)"|"O show é ao vivo hoje à noite."
"liver"|"The doctor said my liver is healthy."|"fígado(substantivo)"|"O médico disse que meu fígado está saudável."
"living"|"She makes a living as a freelance designer."|"sustento(substantivo)"|"Ela ganha a vida como designer freelancer."
"living"|"My living room is small but cozy."|"de estar(adjetivo)"|"Minha sala de estar é pequena, mas aconchegante."
"load"|"That's a heavy load to carry by yourself."|"carga(substantivo)"|"Essa é uma carga pesada para carregar sozinho."
"loan"|"He took out a loan to buy his first car."|"empréstimo(substantivo)"|"Ele fez um empréstimo para comprar seu primeiro carro."
"lobby"|"Let's meet in the hotel lobby at noon."|"saguão(substantivo)"|"Vamos nos encontrar no saguão do hotel ao meio-dia."
"local"|"I prefer to shop at local stores."|"local(adjetivo)"|"Prefiro comprar em lojas locais."
"location"|"The restaurant has a great location downtown."|"localização(substantivo)"|"O restaurante tem uma ótima localização no centro."
"lock"|"Make sure you check the lock before you leave."|"fechadura(substantivo)"|"Certifique-se de verificar a fechadura antes de sair."
"log"|"They found a hollow log near the river."|"tronco(substantivo)"|"Eles encontraram um tronco oco perto do rio."
"logic"|"There's no logic in what he said."|"lógica(substantivo)"|"Não há lógica no que ele disse."
"logical"|"That's the most logical solution to the problem."|"lógico(adjetivo)"|"Essa é a solução mais lógica para o problema."
"lonely"|"She felt lonely after moving to a new city."|"solitário(adjetivo)"|"Ela se sentiu solitária depois de se mudar para uma nova cidade."
"long"|"It was a long day at work."|"longo(adjetivo)"|"Foi um dia longo no trabalho."
"long"|"Have you been waiting long?"|"muito tempo(advérbio)"|"Você está esperando há muito tempo?"
"long"|"You can borrow it as long as you return it."|"contanto que(conjunção)"|"Você pode pegar emprestado contanto que devolva."
"long-term"|"They made a long-term plan for the business."|"de longo prazo(adjetivo)"|"Eles fizeram um plano de longo prazo para o negócio."
"longtime"|"She's a longtime friend of the family."|"de longa data(adjetivo)"|"Ela é uma amiga de longa data da família."
"look"|"The look on his face said everything."|"expressão(substantivo)"|"A expressão no rosto dele disse tudo."
"loop"|"The road makes a loop around the lake."|"volta(substantivo)"|"A estrada faz uma volta ao redor do lago."
"loose"|"This shirt is too loose on me."|"folgado(adjetivo)"|"Essa camisa está folgada demais em mim."
"loss"|"The team dealt with their first loss of the season."|"derrota(substantivo)"|"O time lidou com sua primeira derrota da temporada."
"lost"|"He looked completely lost in the new neighborhood."|"perdido(adjetivo)"|"Ele parecia completamente perdido no novo bairro."
"lot"|"There's a lot of food left from the party."|"muito(substantivo)"|"Tem muito comida sobrando da festa."
"lots"|"Lots of people showed up to the event."|"muitos(pronome)"|"Muitas pessoas apareceram para o evento."
"loud"|"The music next door is too loud."|"alto(adjetivo)"|"A música do vizinho está muito alta."
"loud"|"He laughed loud enough for everyone to hear."|"alto(advérbio)"|"Ele riu alto o suficiente para todos ouvirem."
"love"|"She has a deep love for animals."|"amor(substantivo)"|"Ela tem um amor profundo pelos animais."
"lovely"|"What a lovely day to go for a walk."|"lindo(adjetivo)"|"Que dia lindo para dar uma caminhada."
"lover"|"He's always been a lover of good music."|"amante(substantivo)"|"Ele sempre foi um amante de boa música."
"low"|"The battery is low on my phone."|"baixo(adjetivo)"|"A bateria do meu celular está baixa."
"low"|"She spoke low so no one else could hear."|"baixo(advérbio)"|"Ela falou baixo para que ninguém mais pudesse ouvir."
"loyal"|"He's been a loyal employee for over ten years."|"leal(adjetivo)"|"Ele é um funcionário leal há mais de dez anos."
"loyalty"|"Her loyalty to her friends never wavered."|"lealdade(substantivo)"|"A lealdade dela para com seus amigos nunca vacilou."
"luck"|"We'll need a lot of luck to win this game."|"sorte(substantivo)"|"Vamos precisar de muita sorte para ganhar esse jogo."
"lucky"|"You're lucky you found a parking spot here."|"sortudo(adjetivo)"|"Você teve sorte de encontrar uma vaga aqui."
"lunch"|"We had sandwiches for lunch."|"almoço(substantivo)"|"Comemos sanduíches no almoço."
"lung"|"Smoking seriously damages your lungs."|"pulmão(substantivo)"|"Fumar prejudica seriamente seus pulmões."
"machine"|"The washing machine broke down this morning."|"máquina(substantivo)"|"A máquina de lavar quebrou esta manhã."
"mad"|"She was mad at him for forgetting their anniversary."|"com raiva(adjetivo)"|"Ela estava com raiva dele por ter esquecido o aniversário."
"magazine"|"I picked up a magazine while waiting at the doctor's."|"revista(substantivo)"|"Peguei uma revista enquanto esperava no médico."
"magic"|"The show had a magic atmosphere that night."|"mágico(adjetivo)"|"O show tinha uma atmosfera mágica naquela noite."
"magic"|"The kids were amazed by the magician's magic."|"mágica(substantivo)"|"As crianças ficaram impressionadas com a mágica do mágico."
"magnetic"|"He has a magnetic personality that draws people in."|"magnético(adjetivo)"|"Ele tem uma personalidade magnética que atrai as pessoas."
"magnitude"|"They didn't understand the magnitude of the problem."|"magnitude(substantivo)"|"Eles não entenderam a magnitude do problema."
"mail"|"There's some mail for you on the table."|"correspondência(substantivo)"|"Tem uma correspondência para você na mesa."
"main"|"What's the main reason you want to change jobs?"|"principal(adjetivo)"|"Qual é o principal motivo pelo qual você quer mudar de emprego?"
"mainly"|"I mainly use my phone to listen to music."|"principalmente(advérbio)"|"Eu principalmente uso meu celular para ouvir música."
"mainstream"|"Pop music is very mainstream these days."|"popular/convencional(adjetivo)"|"A música pop é muito convencional hoje em dia."
"maintenance"|"The elevator is out of service for maintenance."|"manutenção(substantivo)"|"O elevador está fora de serviço para manutenção."
"major"|"Moving to a new city was a major change in my life."|"grande/importante(adjetivo)"|"Mudar para uma nova cidade foi uma grande mudança na minha vida."
"major"|"She chose history as her major."|"especialização/área principal(substantivo)"|"Ela escolheu história como sua especialização."
"majority"|"The majority of students passed the test."|"maioria(substantivo)"|"A maioria dos alunos passou na prova."
"maker"|"He's a furniture maker who works with wood."|"fabricante/fazedor(substantivo)"|"Ele é um marceneiro que trabalha com madeira."
"makeup"|"She puts on makeup before leaving the house."|"maquiagem(substantivo)"|"Ela passa maquiagem antes de sair de casa."
"male"|"The male lion has a large mane."|"macho(adjetivo)"|"O leão macho tem uma juba grande."
"male"|"The nurse asked if the patient was a male or female."|"homem/macho(substantivo)"|"A enfermeira perguntou se o paciente era homem ou mulher."
"mall"|"We spent the afternoon at the mall."|"shopping(substantivo)"|"Passamos a tarde no shopping."
"man"|"A tall man was standing at the door."|"homem(substantivo)"|"Um homem alto estava parado na porta."
"management"|"The management decided to cut costs."|"gerência/administração(substantivo)"|"A gerência decidiu cortar custos."
"manager"|"I need to speak with the manager."|"gerente(substantivo)"|"Preciso falar com o gerente."
"managing"|"She has a managing role at the company."|"gestor/de gestão(adjetivo)"|"Ela tem um cargo de gestão na empresa."
"mandate"|"The new law was a government mandate."|"mandato/ordem(substantivo)"|"A nova lei era uma ordem do governo."
"manner"|"He spoke in a very calm manner."|"maneira/modo(substantivo)"|"Ele falou de uma maneira muito calma."
"mansion"|"The old mansion at the end of the street was abandoned."|"mansão(substantivo)"|"A mansão antiga no fim da rua estava abandonada."
"manual"|"I lost the manual for the washing machine."|"manual(substantivo)"|"Perdi o manual da máquina de lavar."
"manufacturer"|"The manufacturer offers a two-year warranty."|"fabricante(substantivo)"|"O fabricante oferece dois anos de garantia."
"manufacturing"|"The city relies heavily on manufacturing jobs."|"fabricação/indústria(substantivo)"|"A cidade depende muito dos empregos na indústria."
"many"|"How many people are coming to the party?"|"muitos(determinante)"|"Quantas pessoas vão vir à festa?"
"map"|"We looked at the map to find the hotel."|"mapa(substantivo)"|"Olhamos o mapa para encontrar o hotel."
"marble"|"The kitchen counter is made of marble."|"mármore(substantivo)"|"A bancada da cozinha é feita de mármore."
"margin"|"She wrote notes in the margin of her notebook."|"margem(substantivo)"|"Ela escreveu notas na margem do caderno."
"marine"|"He studied marine biology in college."|"marinho(adjetivo)"|"Ele estudou biologia marinha na faculdade."
"mark"|"There's a red mark on your shirt."|"marca/mancha(substantivo)"|"Tem uma mancha vermelha na sua camisa."
"marker"|"Can I borrow a marker to label these boxes?"|"marcador(substantivo)"|"Posso pegar um marcador emprestado para etiquetar essas caixas?"
"market"|"We buy fresh vegetables at the local market."|"mercado(substantivo)"|"Compramos legumes frescos no mercado local."
"marketing"|"She works in marketing for a tech company."|"marketing(substantivo)"|"Ela trabalha com marketing em uma empresa de tecnologia."
"marketplace"|"You can sell handmade items on the online marketplace."|"mercado/plataforma de vendas(substantivo)"|"Você pode vender itens artesanais na plataforma de vendas online."
"marriage"|"Their marriage lasted over forty years."|"casamento(substantivo)"|"O casamento deles durou mais de quarenta anos."
"married"|"They got married last summer."|"casado(adjetivo)"|"Eles se casaram no verão passado."
"mask"|"Everyone had to wear a mask inside the hospital."|"máscara(substantivo)"|"Todos tinham que usar máscara dentro do hospital."
"mass"|"The mass of the package was too heavy to carry."|"massa/peso(substantivo)"|"A massa do pacote era pesada demais para carregar."
"mass"|"The storm caused mass destruction across the region."|"em massa/generalizado(adjetivo)"|"A tempestade causou destruição generalizada em toda a região."
"massive"|"That's a massive dog — what breed is it?"|"enorme/gigante(adjetivo)"|"Que cachorro enorme — que raça é essa?"
"master"|"He's a master at fixing old cars."|"mestre/especialista(substantivo)"|"Ele é um mestre em consertar carros antigos."
"match"|"We watched the soccer match together."|"jogo/partida(substantivo)"|"Assistimos à partida de futebol juntos."
"mate"|"He's been my best mate since kindergarten."|"amigo/parceiro(substantivo)"|"Ele é meu melhor amigo desde o jardim de infância."
"material"|"The jacket is made from a waterproof material."|"material/tecido(substantivo)"|"A jaqueta é feita de um material impermeável."
"math"|"My daughter is really good at math."|"matemática(substantivo)"|"Minha filha é muito boa em matemática."
"mathematics"|"He got a degree in mathematics."|"matemática(substantivo)"|"Ele se formou em matemática."
"matter"|"It's a personal matter — I'd rather not talk about it."|"assunto/questão(substantivo)"|"É um assunto pessoal — prefiro não falar sobre isso."
"matter"|"No matter what happens, I'll be here."|"importar(verbo)"|"Não importa o que aconteça, estarei aqui."
"maximum"|"The maximum speed on this road is 60 mph."|"máximo(adjetivo)"|"A velocidade máxima nesta estrada é 60 mph."
"may"|"You may leave the room when you're done."|"poder/ser permitido(verbo modal)"|"Você pode sair da sala quando terminar."
"maybe"|"Maybe we should try the other restaurant."|"talvez(advérbio)"|"Talvez a gente deva tentar o outro restaurante."
